,col1,col2,col3,col4,col5,col6,col7,col8
0,FD24,Prosecco Willies,17049065,12,1.66,20.00%,15.94,5
1,FD212,Candy BJ Practice Willie,17049071,36,2.5,20.00%,72.0,5
2,FD299,Blow Job Mints 30g,21069092,12,1.04,20.00%,9.98,5
3,FD107,Marshmallow Willies,17049099,12,1.66,20.00%,15.94,5
4,HP3044D,X-Rated Candies,17049081,12,0.83,20.00%,7.97,5
5,FD216,Sexy J elly Men,17049065,24,1.66,20.00%,31.87,5
6,FD33,Lovers Candy G-String,17049081,12,2.5,20.00%,24.0,5
7,CN03,After Dinner Nipples,18063100,12,2.9,20.00%,27.84,5
8,FD02,Dunking Dickies,19053119,12,2.5,20.00%,24.0,2
9,FD125,Candy Love Ring,17049081,12,1.25,20.00%,12.0,5
10,FD06,J elly Willies,17049065,24,1.66,20.00%,31.87,5
11,FD41,J elly Super Sperms,17049065,24,1.66,20.00%,31.87,5
12,FD76,Gummy Kama Sutra,17049065,24,1.66,20.00%,31.87,5
