,col1,col2,col3,col4,col5,col6,col7,col8
0,FD241,Cocktails - Screaming Orgasm,17049071,24,1.25,20.00%,24.0,5
1,FD42,J elly Pussies,17049065,24,1.66,20.00%,31.87,5
2,FD34,Lovers Candy Bra,17049081,12,2.5,20.00%,24.0,5
3,FD29,Gummy Condoms,17049065,24,1.25,20.00%,24.0,5
4,CN14,Choclits,18063100,12,2.9,20.00%,27.84,5
5,FD217,Peppermint Nipples Mints 45g,21069092,12,0.83,20.00%,7.97,5
